,F1,FN,FP,File,Method,Precision,Recall,TN,TP
233,0.444,5,0,TS4.csv,moving_avg,1.0,0.286,1673,2
234,0.6,4,0,TS4.csv,moving_avg_rolling_std,1.0,0.429,1673,3
235,0.333,3,13,TS4.csv,isolation_forest,0.235,0.571,1660,4
236,0.583,0,10,TS4.csv,one_class_svm,0.412,1.0,1663,7
239,0.276,9,12,TS40.csv,kmeans,0.25,0.308,1655,4
34,0.999700149925038,1,0,TS40.csv,twitter_anomaly_detector,1.0,0.9994004796163071,1667,12
238,0.556,8,0,TS40.csv,mean_plus_standev,1.0,0.385,1667,5
240,0.556,8,0,TS40.csv,moving_avg,1.0,0.385,1667,5
241,0.696,5,2,TS40.csv,moving_avg_rolling_std,0.8,0.615,1665,8
242,0.533,5,9,TS40.csv,isolation_forest,0.471,0.615,1658,8
243,0.667,3,7,TS40.csv,one_class_svm,0.588,0.769,1660,10
244,0.75,4,2,TS40.csv,max_voting,0.818,0.692,1665,9
246,0.071,11,15,TS41.csv,kmeans,0.062,0.083,1653,1
249,0.138,10,15,TS41.csv,isolation_forest,0.118,0.167,1653,2
247,0.4,9,0,TS41.csv,moving_avg,1.0,0.25,1668,3
245,0.588,7,0,TS41.csv,mean_plus_standev,1.0,0.417,1668,5
248,0.522,6,5,TS41.csv,moving_avg_rolling_std,0.545,0.5,1663,6
250,0.621,3,8,TS41.csv,one_class_svm,0.529,0.75,1660,9
251,0.636,5,3,TS41.csv,max_voting,0.7,0.583,1665,7
35,1.0,0,0,TS41.csv,twitter_anomaly_detector,1.0,1.0,1668,12
252,0.462,7,0,TS42.csv,mean_plus_standev,1.0,0.3,1670,3
253,0.154,8,14,TS42.csv,kmeans,0.125,0.2,1656,2
254,0.182,9,0,TS42.csv,moving_avg,1.0,0.1,1670,1
255,0.625,5,1,TS42.csv,moving_avg_rolling_std,0.833,0.5,1669,5
256,0.519,3,10,TS42.csv,isolation_forest,0.412,0.7,1660,7
257,0.519,3,10,TS42.csv,one_class_svm,0.412,0.7,1660,7
258,0.7,3,3,TS42.csv,max_voting,0.7,0.7,1667,7
36,1.0,0,0,TS42.csv,twitter_anomaly_detector,1.0,1.0,1670,10
37,1.0,0,0,TS43.csv,twitter_anomaly_detector,1.0,1.0,1672,8
264,0.64,0,9,TS43.csv,one_class_svm,0.471,1.0,1663,8
260,0.333,4,12,TS43.csv,kmeans,0.25,0.5,1660,4
262,0.769,3,0,TS43.csv,moving_avg_rolling_std,1.0,0.625,1672,5
261,0.667,4,0,TS43.csv,moving_avg,1.0,0.5,1672,4
265,0.875,1,1,TS43.csv,max_voting,0.875,0.875,1671,7
259,0.769,3,0,TS43.csv,mean_plus_standev,1.0,0.625,1672,5
263,0.56,1,10,TS43.csv,isolation_forest,0.412,0.875,1662,7
38,1.0,0,0,TS44.csv,twitter_anomaly_detector,1.0,1.0,1679,1
267,0.0,1,16,TS44.csv,kmeans,0.0,0.0,1663,0
271,0.111,0,16,TS44.csv,one_class_svm,0.059,1.0,1663,1
266,0.0,1,0,TS44.csv,mean_plus_standev,0.0,0.0,1679,0
268,0.0,1,0,TS44.csv,moving_avg,0.0,0.0,1679,0
269,1.0,0,0,TS44.csv,moving_avg_rolling_std,1.0,1.0,1679,1
270,0.111,0,16,TS44.csv,isolation_forest,0.059,1.0,1663,1
272,1.0,0,0,TS44.csv,max_voting,1.0,1.0,1679,1
277,0.545,7,8,TS45.csv,isolation_forest,0.529,0.562,1656,9
276,0.562,7,7,TS45.csv,moving_avg_rolling_std,0.562,0.562,1657,9
275,0.476,11,0,TS45.csv,moving_avg,1.0,0.312,1664,5
273,0.667,8,0,TS45.csv,mean_plus_standev,1.0,0.5,1664,8
274,0.625,6,6,TS45.csv,kmeans,0.625,0.625,1658,10
39,1.0,0,0,TS45.csv,twitter_anomaly_detector,1.0,1.0,1664,16
278,0.909,1,2,TS45.csv,one_class_svm,0.882,0.938,1662,15
279,0.897,3,0,TS45.csv,max_voting,1.0,0.812,1664,13
285,0.788,3,4,TS46.csv,one_class_svm,0.765,0.812,1660,13
284,0.485,8,9,TS46.csv,isolation_forest,0.471,0.5,1655,8
283,0.706,4,6,TS46.csv,moving_avg_rolling_std,0.667,0.75,1658,12
282,0.545,10,0,TS46.csv,moving_avg,1.0,0.375,1664,6
280,0.609,9,0,TS46.csv,mean_plus_standev,1.0,0.438,1664,7
40,1.0,0,0,TS46.csv,twitter_anomaly_detector,1.0,1.0,1664,16
286,0.867,3,1,TS46.csv,max_voting,0.929,0.812,1663,13
281,0.438,9,9,TS46.csv,kmeans,0.438,0.438,1655,7
41,1.0,0,0,TS47.csv,twitter_anomaly_detector,1.0,1.0,1673,7
293,0.6,1,7,TS47.csv,max_voting,0.462,0.857,1666,6
287,0.6,4,0,TS47.csv,mean_plus_standev,1.0,0.429,1673,3
288,0.261,4,13,TS47.csv,kmeans,0.188,0.429,1660,3
289,0.444,5,0,TS47.csv,moving_avg,1.0,0.286,1673,2
290,0.348,3,12,TS47.csv,moving_avg_rolling_std,0.25,0.571,1661,4
291,0.333,3,13,TS47.csv,isolation_forest,0.235,0.571,1660,4
292,0.5,1,11,TS47.csv,one_class_svm,0.353,0.857,1662,6
42,0.998807394156231,4,0,TS48.csv,twitter_anomaly_detector,1.0,0.9976176295413941,1675,1
295,0.286,2,13,TS48.csv,kmeans,0.188,0.6,1662,3
296,0.0,5,0,TS48.csv,moving_avg,0.0,0.0,1675,0
297,0.286,4,1,TS48.csv,moving_avg_rolling_std,0.5,0.2,1674,1
298,0.273,2,14,TS48.csv,isolation_forest,0.176,0.6,1661,3
294,0.571,3,0,TS48.csv,mean_plus_standev,1.0,0.4,1675,2
300,0.5,2,4,TS48.csv,max_voting,0.429,0.6,1671,3
299,0.455,0,12,TS48.csv,one_class_svm,0.294,1.0,1663,5
305,0.462,3,11,TS49.csv,isolation_forest,0.353,0.667,1660,6
302,0.16,7,14,TS49.csv,kmeans,0.125,0.222,1657,2
303,0.615,5,0,TS49.csv,moving_avg,1.0,0.444,1671,4
304,0.706,3,2,TS49.csv,moving_avg_rolling_std,0.75,0.667,1669,6
43,1.0,0,0,TS49.csv,twitter_anomaly_detector,1.0,1.0,1671,9
301,0.714,4,0,TS49.csv,mean_plus_standev,1.0,0.556,1671,5
306,0.538,2,10,TS49.csv,one_class_svm,0.412,0.778,1661,7
307,0.545,3,7,TS49.csv,max_voting,0.462,0.667,1664,6
309,0.08,8,15,TS5.csv,kmeans,0.062,0.111,1656,1
310,0.0,9,0,TS5.csv,moving_avg,0.0,0.0,1671,0
311,0.8,3,0,TS5.csv,moving_avg_rolling_std,1.0,0.667,1671,6
312,0.462,3,11,TS5.csv,isolation_forest,0.353,0.667,1660,6
314,0.889,1,1,TS5.csv,max_voting,0.889,0.889,1670,8
308,0.0,9,0,TS5.csv,mean_plus_standev,0.0,0.0,1671,0
313,0.615,1,9,TS5.csv,one_class_svm,0.471,0.889,1662,8
44,0.997611940298508,8,0,TS5.csv,twitter_anomaly_detector,1.0,0.995235259082787,1671,1
45,0.9964093357271101,12,0,TS50.csv,twitter_anomaly_detector,1.0,0.992844364937388,1665,3
315,0.235,13,0,TS50.csv,mean_plus_standev,1.0,0.133,1665,2
316,0.194,12,13,TS50.csv,kmeans,0.188,0.2,1652,3
317,0.0,15,0,TS50.csv,moving_avg,0.0,0.0,1665,0
318,0.421,7,15,TS50.csv,moving_avg_rolling_std,0.348,0.533,1650,8
319,0.5,7,9,TS50.csv,isolation_forest,0.471,0.533,1656,8
320,0.562,6,8,TS50.csv,one_class_svm,0.529,0.6,1657,9
321,0.552,7,6,TS50.csv,max_voting,0.571,0.533,1659,8
323,0.182,4,14,TS51.csv,kmeans,0.125,0.333,1660,2
322,0.5,4,0,TS51.csv,mean_plus_standev,1.0,0.333,1674,2
324,0.286,5,0,TS51.csv,moving_avg,1.0,0.167,1674,1
325,0.222,5,2,TS51.csv,moving_avg_rolling_std,0.333,0.167,1672,1
327,0.348,2,13,TS51.csv,one_class_svm,0.235,0.667,1661,4
46,1.0,0,0,TS51.csv,twitter_anomaly_detector,1.0,1.0,1674,6
328,0.545,3,2,TS51.csv,max_voting,0.6,0.5,1672,3
326,0.261,3,14,TS51.csv,isolation_forest,0.176,0.5,1660,3
335,0.846,3,1,TS52.csv,max_voting,0.917,0.786,1665,11
333,0.387,8,11,TS52.csv,isolation_forest,0.353,0.429,1655,6
332,0.552,6,7,TS52.csv,moving_avg_rolling_std,0.533,0.571,1659,8
334,0.774,2,5,TS52.csv,one_class_svm,0.706,0.857,1661,12
330,0.4,8,10,TS52.csv,kmeans,0.375,0.429,1656,6
329,0.444,10,0,TS52.csv,mean_plus_standev,1.0,0.286,1666,4
47,0.997604790419162,8,0,TS52.csv,twitter_anomaly_detector,1.0,0.995221027479092,1666,6
331,0.0,14,0,TS52.csv,moving_avg,0.0,0.0,1666,0
336,0.667,8,0,TS53.csv,mean_plus_standev,1.0,0.5,1664,8
339,0.857,4,0,TS53.csv,moving_avg_rolling_std,1.0,0.75,1664,12
337,0.375,10,10,TS53.csv,kmeans,0.375,0.375,1654,6
342,0.897,3,0,TS53.csv,max_voting,1.0,0.812,1664,13
341,0.909,1,2,TS53.csv,one_class_svm,0.882,0.938,1662,15
340,0.545,7,8,TS53.csv,isolation_forest,0.529,0.562,1656,9
48,1.0,0,0,TS53.csv,twitter_anomaly_detector,1.0,1.0,1664,16
338,0.545,10,0,TS53.csv,moving_avg,1.0,0.375,1664,6
348,0.812,2,4,TS54.csv,one_class_svm,0.765,0.867,1661,13
349,0.839,2,3,TS54.csv,max_voting,0.812,0.867,1662,13
49,1.0,0,0,TS54.csv,twitter_anomaly_detector,1.0,1.0,1665,15
343,0.636,8,0,TS54.csv,mean_plus_standev,1.0,0.467,1665,7
344,0.581,6,7,TS54.csv,kmeans,0.562,0.6,1658,9
345,0.333,12,0,TS54.csv,moving_avg,1.0,0.2,1665,3
346,0.828,3,2,TS54.csv,moving_avg_rolling_std,0.857,0.8,1663,12
347,0.75,3,5,TS54.csv,isolation_forest,0.706,0.8,1660,12
350,0.857,1,0,TS55.csv,mean_plus_standev,1.0,0.75,1676,3
50,1.0,0,0,TS55.csv,twitter_anomaly_detector,1.0,1.0,1676,4
356,0.615,0,5,TS55.csv,max_voting,0.444,1.0,1671,4
351,0.1,3,15,TS55.csv,kmeans,0.062,0.25,1661,1
354,0.364,0,14,TS55.csv,isolation_forest,0.222,1.0,1662,4
353,1.0,0,0,TS55.csv,moving_avg_rolling_std,1.0,1.0,1676,4
352,0.667,2,0,TS55.csv,moving_avg,1.0,0.5,1676,2
355,0.381,0,13,TS55.csv,one_class_svm,0.235,1.0,1663,4
358,0.429,6,10,TS56.csv,kmeans,0.375,0.5,1658,6
359,0.286,10,0,TS56.csv,moving_avg,1.0,0.167,1668,2
51,0.9994008388256441,2,0,TS56.csv,twitter_anomaly_detector,1.0,0.9988023952095809,1668,10
360,0.462,6,8,TS56.csv,moving_avg_rolling_std,0.429,0.5,1660,6
361,0.483,5,10,TS56.csv,isolation_forest,0.412,0.583,1658,7
362,0.621,3,8,TS56.csv,one_class_svm,0.529,0.75,1660,9
363,0.696,4,3,TS56.csv,max_voting,0.727,0.667,1665,8
357,0.667,6,0,TS56.csv,mean_plus_standev,1.0,0.5,1668,6
364,0.0,7,0,TS57.csv,mean_plus_standev,0.0,0.0,1673,0
52,0.999402628434886,2,0,TS57.csv,twitter_anomaly_detector,1.0,0.9988059701492541,1673,5
365,0.174,5,14,TS57.csv,kmeans,0.125,0.286,1659,2
367,0.231,4,16,TS57.csv,moving_avg_rolling_std,0.158,0.429,1657,3
368,0.333,3,13,TS57.csv,isolation_forest,0.235,0.571,1660,4
369,0.333,3,13,TS57.csv,one_class_svm,0.235,0.571,1660,4
370,0.4,3,9,TS57.csv,max_voting,0.308,0.571,1664,4
366,0.0,7,0,TS57.csv,moving_avg,0.0,0.0,1673,0
377,0.818,3,1,TS58.csv,max_voting,0.9,0.75,1667,9
376,0.759,1,6,TS58.csv,one_class_svm,0.647,0.917,1662,11
375,0.552,4,9,TS58.csv,isolation_forest,0.471,0.667,1659,8
373,0.0,12,0,TS58.csv,moving_avg,0.0,0.0,1668,0
374,0.455,7,5,TS58.csv,moving_avg_rolling_std,0.5,0.417,1663,5
372,0.214,9,13,TS58.csv,kmeans,0.188,0.25,1655,3
371,0.588,7,0,TS58.csv,mean_plus_standev,1.0,0.417,1668,5
53,0.9991015274034141,3,0,TS58.csv,twitter_anomaly_detector,1.0,0.9982046678635551,1668,9
54,0.9994022713687991,2,0,TS59.csv,twitter_anomaly_detector,1.0,0.998805256869773,1672,6
378,0.222,7,0,TS59.csv,mean_plus_standev,1.0,0.125,1672,1
379,0.083,7,15,TS59.csv,kmeans,0.062,0.125,1657,1
380,0.0,8,0,TS59.csv,moving_avg,0.0,0.0,1672,0
381,0.75,2,2,TS59.csv,moving_avg_rolling_std,0.75,0.75,1670,6
382,0.462,2,12,TS59.csv,isolation_forest,0.333,0.75,1660,6
383,0.48,2,11,TS59.csv,one_class_svm,0.353,0.75,1661,6
384,0.706,2,3,TS59.csv,max_voting,0.667,0.75,1669,6
388,0.571,9,0,TS6.csv,moving_avg_rolling_std,1.0,0.4,1665,6
389,0.5,7,9,TS6.csv,isolation_forest,0.471,0.533,1656,8
387,0.333,12,0,TS6.csv,moving_avg,1.0,0.2,1665,3
391,0.643,6,4,TS6.csv,max_voting,0.692,0.6,1661,9
385,0.5,10,0,TS6.csv,mean_plus_standev,1.0,0.333,1665,5
55,1.0,0,0,TS6.csv,twitter_anomaly_detector,1.0,1.0,1665,15
386,0.194,12,13,TS6.csv,kmeans,0.188,0.2,1652,3
390,0.688,4,6,TS6.csv,one_class_svm,0.647,0.733,1659,11
393,0.414,7,10,TS60.csv,kmeans,0.375,0.462,1657,6
392,0.267,11,0,TS60.csv,mean_plus_standev,1.0,0.154,1667,2
394,0.143,12,0,TS60.csv,moving_avg,1.0,0.077,1667,1
395,0.526,8,1,TS60.csv,moving_avg_rolling_std,0.833,0.385,1666,5
396,0.4,7,11,TS60.csv,isolation_forest,0.353,0.462,1656,6
397,0.667,3,7,TS60.csv,one_class_svm,0.588,0.769,1660,10
398,0.667,4,5,TS60.csv,max_voting,0.643,0.692,1662,9
56,1.0,0,0,TS60.csv,twitter_anomaly_detector,1.0,1.0,1667,13
57,0.999104210212004,3,0,TS61.csv,twitter_anomaly_detector,1.0,0.9982100238663479,1673,4
399,0.444,5,0,TS61.csv,mean_plus_standev,1.0,0.286,1673,2
400,0.174,5,14,TS61.csv,kmeans,0.125,0.286,1659,2
401,0.0,7,0,TS61.csv,moving_avg,0.0,0.0,1673,0
402,0.364,5,2,TS61.csv,moving_avg_rolling_std,0.5,0.286,1671,2
403,0.167,5,15,TS61.csv,isolation_forest,0.118,0.286,1658,2
404,0.333,3,13,TS61.csv,one_class_svm,0.235,0.571,1660,4
405,0.316,4,9,TS61.csv,max_voting,0.25,0.429,1664,3
406,0.333,8,0,TS62.csv,mean_plus_standev,1.0,0.2,1670,2
407,0.154,8,14,TS62.csv,kmeans,0.125,0.2,1656,2
409,0.8,2,2,TS62.csv,moving_avg_rolling_std,0.8,0.8,1668,8
410,0.519,3,10,TS62.csv,isolation_forest,0.412,0.7,1660,7
411,0.741,0,7,TS62.csv,one_class_svm,0.588,1.0,1663,10
412,0.842,2,1,TS62.csv,max_voting,0.889,0.8,1669,8
58,1.0,0,0,TS62.csv,twitter_anomaly_detector,1.0,1.0,1670,10
408,0.333,8,0,TS62.csv,moving_avg,1.0,0.2,1670,2
413,0.667,5,0,TS63.csv,mean_plus_standev,1.0,0.5,1670,5
414,0.385,5,11,TS63.csv,kmeans,0.312,0.5,1659,5
416,0.571,6,0,TS63.csv,moving_avg_rolling_std,1.0,0.4,1670,4
417,0.222,7,14,TS63.csv,isolation_forest,0.176,0.3,1656,3
418,0.667,1,8,TS63.csv,one_class_svm,0.529,0.9,1662,9
419,0.889,2,0,TS63.csv,max_voting,1.0,0.8,1670,8
59,0.9979085748431429,7,0,TS63.csv,twitter_anomaly_detector,1.0,0.9958258795468101,1670,3
415,0.182,9,0,TS63.csv,moving_avg,1.0,0.1,1670,1
60,0.9997010463378181,1,0,TS64.csv,twitter_anomaly_detector,1.0,0.9994022713687991,1672,7
420,0.769,3,0,TS64.csv,mean_plus_standev,1.0,0.625,1672,5
423,0.4,5,4,TS64.csv,moving_avg_rolling_std,0.429,0.375,1668,3
425,0.48,2,11,TS64.csv,one_class_svm,0.353,0.75,1661,6
426,0.706,2,3,TS64.csv,max_voting,0.667,0.75,1669,6
422,0.0,8,0,TS64.csv,moving_avg,0.0,0.0,1672,0
421,0.417,3,11,TS64.csv,kmeans,0.312,0.625,1661,5
424,0.48,2,11,TS64.csv,isolation_forest,0.353,0.75,1661,6
433,0.625,6,6,TS65.csv,max_voting,0.625,0.625,1658,10
431,0.545,7,8,TS65.csv,isolation_forest,0.529,0.562,1656,9
430,0.333,12,4,TS65.csv,moving_avg_rolling_std,0.5,0.25,1660,4
432,0.788,3,4,TS65.csv,one_class_svm,0.765,0.812,1660,13
428,0.188,13,13,TS65.csv,kmeans,0.188,0.188,1651,3
427,0.545,10,0,TS65.csv,mean_plus_standev,1.0,0.375,1664,6
61,0.9982003599280139,6,0,TS65.csv,twitter_anomaly_detector,1.0,0.9964071856287429,1664,10
429,0.4,12,0,TS65.csv,moving_avg,1.0,0.25,1664,4
434,0.333,4,0,TS66.csv,mean_plus_standev,1.0,0.2,1675,1
435,0.19,3,14,TS66.csv,kmeans,0.125,0.4,1661,2
436,0.333,4,0,TS66.csv,moving_avg,1.0,0.2,1675,1
437,0.444,3,2,TS66.csv,moving_avg_rolling_std,0.5,0.4,1673,2
438,0.182,3,15,TS66.csv,isolation_forest,0.118,0.4,1660,2
439,0.364,1,13,TS66.csv,one_class_svm,0.235,0.8,1662,4
440,0.429,2,6,TS66.csv,max_voting,0.333,0.6,1669,3
62,0.9994033412887829,2,0,TS66.csv,twitter_anomaly_detector,1.0,0.998807394156231,1675,3
441,0.571,6,0,TS67.csv,mean_plus_standev,1.0,0.4,1670,4
443,0.333,8,0,TS67.csv,moving_avg,1.0,0.2,1670,2
442,0.154,8,14,TS67.csv,kmeans,0.125,0.2,1656,2
444,0.667,5,0,TS67.csv,moving_avg_rolling_std,1.0,0.5,1670,5
63,1.0,0,0,TS67.csv,twitter_anomaly_detector,1.0,1.0,1670,10
445,0.519,3,10,TS67.csv,isolation_forest,0.412,0.7,1660,7
447,0.737,3,2,TS67.csv,max_voting,0.778,0.7,1668,7
446,0.519,3,10,TS67.csv,one_class_svm,0.412,0.7,1660,7
448,0.2,8,0,TS7.csv,mean_plus_standev,1.0,0.111,1671,1
449,0.24,6,13,TS7.csv,kmeans,0.188,0.333,1658,3
450,0.0,9,0,TS7.csv,moving_avg,0.0,0.0,1671,0
451,0.5,5,3,TS7.csv,moving_avg_rolling_std,0.571,0.444,1668,4
452,0.615,1,9,TS7.csv,isolation_forest,0.471,0.889,1662,8
453,0.538,2,10,TS7.csv,one_class_svm,0.412,0.778,1661,7
454,0.609,2,7,TS7.csv,max_voting,0.5,0.778,1664,7
64,0.9985061248879591,5,0,TS7.csv,twitter_anomaly_detector,1.0,0.997016706443914,1671,4
461,0.333,0,4,TS8.csv,max_voting,0.2,1.0,1675,1
460,0.111,0,16,TS8.csv,one_class_svm,0.059,1.0,1663,1
456,0.118,0,15,TS8.csv,kmeans,0.062,1.0,1664,1
458,1.0,0,0,TS8.csv,moving_avg_rolling_std,1.0,1.0,1679,1
457,1.0,0,0,TS8.csv,moving_avg,1.0,1.0,1679,1
65,1.0,0,0,TS8.csv,twitter_anomaly_detector,1.0,1.0,1679,1
459,0.105,0,17,TS8.csv,isolation_forest,0.056,1.0,1662,1
455,1.0,0,0,TS8.csv,mean_plus_standev,1.0,1.0,1679,1
467,0.759,1,6,TS9.csv,one_class_svm,0.647,0.917,1662,11
462,0.5,8,0,TS9.csv,mean_plus_standev,1.0,0.333,1668,4
463,0.214,9,13,TS9.csv,kmeans,0.188,0.25,1655,3
464,0.0,12,0,TS9.csv,moving_avg,0.0,0.0,1668,0
465,0.4,9,0,TS9.csv,moving_avg_rolling_std,1.0,0.25,1668,3
466,0.621,3,8,TS9.csv,isolation_forest,0.529,0.75,1660,9
468,0.87,2,1,TS9.csv,max_voting,0.909,0.833,1667,10
66,1.0,0,0,TS9.csv,twitter_anomaly_detector,1.0,1.0,1668,12
